0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95
0.9510000000000001,0.9485,0.9457,0.9442999999999999,0.9394,0.9378,0.933,0.9340999999999999,0.9293,0.9232,0.9219999999999999,0.9121,0.897,0.8808,0.874,0.8406,0.7963,0.7814,0.7747999999999999
0.9011,0.8936,0.8885000000000001,0.8882,0.883,0.8826,0.8764000000000001,0.8727,0.8667,0.8577,0.848,0.8333,0.8016000000000001,0.7802,0.7556,0.6986,0.6522,0.5722,0.5492
0.8449,0.8553,0.8419,0.8387,0.8309,0.8175,0.8109,0.8084,0.7891999999999999,0.7845,0.7642,0.7517,0.7062999999999999,0.6767,0.6244000000000001,0.57,0.49160000000000004,0.4464,0.4351
0.8055,0.7846,0.7895000000000001,0.7766,0.772,0.761,0.7558,0.7464999999999999,0.737,0.7084999999999999,0.6979,0.6599,0.6233,0.5663,0.5244,0.45499999999999996,0.40700000000000003,0.443,0.46340000000000003
0.7479,0.7289,0.7186,0.7101999999999999,0.7134,0.7021999999999999,0.6834,0.679,0.6489,0.6323000000000001,0.6051,0.5657,0.5191,0.4508,0.39659999999999995,0.37860000000000005,0.43500000000000005,0.4728,0.484
0.706,0.6794,0.6628000000000001,0.6576,0.6573,0.6421,0.6175999999999999,0.6088,0.5601,0.5569,0.5142,0.4608,0.4264,0.35850000000000004,0.3384,0.3967,0.4478,0.47850000000000004,0.4932
0.6486000000000001,0.6255,0.6057,0.5925,0.5961000000000001,0.5690999999999999,0.5666,0.5226999999999999,0.5108999999999999,0.47619999999999996,0.42810000000000004,0.38,0.33909999999999996,0.31999999999999995,0.3577,0.40759999999999996,0.4417,0.47,0.4798
0.6053,0.5478000000000001,0.5529,0.5359,0.5216000000000001,0.5126999999999999,0.4683,0.4532,0.4314,0.4005,0.3547,0.3135,0.2857,0.3236,0.35819999999999996,0.3978,0.4336,0.4471,0.4599
0.548,0.4915,0.4805,0.476,0.4686,0.4461,0.4111,0.38480000000000003,0.3547,0.3147,0.2635,0.25939999999999996,0.2912,0.3272,0.3591,0.3845,0.4041,0.4264,0.44430000000000003
0.5162,0.4214,0.4262,0.4073,0.4044,0.36219999999999997,0.3503,0.29710000000000003,0.2738,0.24930000000000002,0.2723,0.29710000000000003,0.3363,0.37560000000000004,0.3804,0.4129,0.4072,0.4232,0.4696
